Date,number,LowMean,AVTemp,HighMean,LDMean,AVMean,HDMean
1-Jan,1,-0.74,3.346666667,11.48,-3.15,-0.666666667,2.406666667
2-Jan,2,-3.52,2.073333333,10.55666667,-5,-2.196666667,1.666666667
3-Jan,3,-3.333333333,2.026666667,8.89,-5,-2.133333333,0.186666667
4-Jan,4,-2.776666667,3.086666667,10.74,-4.443333333,-1.976666667,0.186666667
5-Jan,5,-4.63,1.556666667,10.18333333,-5.74,-3.073333333,0
6-Jan,6,-5.37,1.766666667,12.03666667,-6.296666667,-3.576666667,-0.553333333
7-Jan,7,-3.52,2.483333333,10.74,-6.296666667,-3.633333333,-0.37
8-Jan,8,-3.703333333,2.33,10.37,-6.11,-3.063333333,-0.37
9-Jan,9,-1.666666667,4.94,8.89,-2.776666667,-0.506666667,2.406666667
10-Jan,10,-2.223333333,3.503333333,8.703333333,-4.073333333,-1.456666667,0.556666667
11-Jan,11,-5.926666667,0.706666667,7.593333333,-7.963333333,-4.913333333,-2.036666667
12-Jan,12,-7.223333333,-1.326666667,7.036666667,-9.443333333,-5.493333333,-2.776666667
13-Jan,13,-7.593333333,-1.206666667,7.406666667,-8.333333333,-4.646666667,-0.926666667
14-Jan,14,-6.296666667,-0.05,9.26,-7.593333333,-3.426666667,-0.186666667
15-Jan,15,-3.703333333,2.016666667,10,-4.63,-1.546666667,1.296666667
16-Jan,16,-1.853333333,3.166666667,10,-3.333333333,0.09,3.333333333
17-Jan,17,-1.666666667,3,8.52,-2.963333333,-0.196666667,2.406666667
18-Jan,18,-2.963333333,2.3,8.52,-3.89,-0.333333333,2.963333333
19-Jan,19,-3.703333333,1.896666667,7.776666667,-8.89,-1.996666667,4.073333333
20-Jan,20,0.553333333,3.57,7.036666667,-5,-1.766666667,1.666666667
21-Jan,21,2.963333333,6.3,9.63,-1.296666667,1.86,4.26
22-Jan,22,3.703333333,6.393333333,10.37,-0.186666667,2.303333333,5.926666667
23-Jan,23,3.333333333,7.646666667,11.66666667,0.74,3.39,6.296666667
24-Jan,24,7.036666667,9.733333333,12.59333333,2.963333333,4.28,7.776666667
25-Jan,25,6.666666667,9.936666667,12.96333333,3.703333333,6.076666667,7.963333333
26-Jan,26,2.593333333,7.326666667,13.33333333,2.593333333,4.88,7.406666667
27-Jan,27,2.406666667,7.783333333,13.89,2.406666667,4.703333333,7.406666667
28-Jan,28,5.556666667,9.76,12.96333333,4.63,6.393333333,8.333333333
29-Jan,29,6.48,9.73,12.77666667,5,6.453333333,8.333333333
30-Jan,30,6.853333333,9.8,12.59333333,0.74,4.37,8.703333333
31-Jan,31,8.333333333,11.40333333,13.89,5.37,7.996666667,10.37
1-Feb,32,8.703333333,11.53333333,15.74,4.26,7.33,10
2-Feb,33,6.296666667,9.223333333,11.48333333,3.333333333,5.14,6.666666667
3-Feb,34,5.74,8.593333333,12.78,1.853333333,3.986666667,5.74
4-Feb,35,2.223333333,7.916666667,14.63,1.296666667,3.756666667,6.296666667
5-Feb,36,1.666666667,8.313333333,16.11,-0.37,2.68,5.556666667
6-Feb,37,1.666666667,7.076666667,12.77666667,1.296666667,4.166666667,6.666666667
7-Feb,38,1.666666667,7.123333333,13.33333333,0,3.17,6.11
8-Feb,39,2.593333333,7.233333333,13.14666667,1.853333333,3.96,6.296666667
9-Feb,40,3.333333333,7.176666667,11.66666667,2.223333333,4.99,6.853333333
10-Feb,41,4.443333333,8.933333333,14.26,1.296666667,5.61,8.333333333
11-Feb,42,3.333333333,8.646666667,12.59333333,1.483333333,5.673333333,9.63
12-Feb,43,5.556666667,9.23,13.33333333,3.15,4.996666667,7.036666667
13-Feb,44,3.15,8.92,16.11,2.22,4.383333333,7.036666667
14-Feb,45,1.296666667,7.536666667,15.74,0.926666667,3.406666667,6.11
15-Feb,46,0.556666667,7.423333333,16.11,0,3.38,6.483333333
16-Feb,47,1.11,8.49,16.85333333,-0.556666667,2.973333333,7.036666667
17-Feb,48,1.483333333,8.123333333,15.74,-0.74,2.9,5.556666667
18-Feb,49,1.666666667,7.83,15.37,-1.296666667,2.413333333,5.556666667
19-Feb,50,1.11,8.106666667,17.03666667,-0.37,1.536666667,4.26
20-Feb,51,0.186666667,7.953333333,17.03666667,-1.296666667,1.3,3.89
21-Feb,52,2.036666667,8.966666667,16.85333333,-0.37,2.12,4.816666667
22-Feb,53,0.556666667,8.413333333,17.77666667,-2.963333333,0.316666667,3.333333333
23-Feb,54,-0.37,8.326666667,18.70333333,-2.036666667,0.136666667,3.146666667
24-Feb,55,1.11,9.32,18.70333333,-1.48,1.603333333,4.073333333
25-Feb,56,1.666666667,9.27,17.22333333,-1.48,2.746666667,5.37
26-Feb,57,4.073333333,10.59,17.77666667,-1.666666667,1.933333333,5.186666667
27-Feb,58,1.48,10.70666667,19.63,-2.036666667,1.106666667,3.703333333
28-Feb,59,2.036666667,9.733333333,17.96333333,-0.74,1.38,4.073333333
1-Mar,60,4.073333333,9.813333333,14.63,0.37,3.333333333,6.11
2-Mar,61,6.666666667,11.22666667,16.66666667,2.963333333,4.993333333,7.036666667
3-Mar,62,5,10.92666667,16.29666667,-0.37,4.02,7.963333333
4-Mar,63,5.926666667,10.33,15.37,1.853333333,5.67,8.89
5-Mar,64,7.593333333,12.03,16.66666667,3.52,6.043333333,7.963333333
6-Mar,65,8.89,11.73666667,15,2.223333333,6.086666667,9.073333333
7-Mar,66,4.813333333,9.183333333,13.33333333,-1.11,2.036666667,4.813333333
8-Mar,67,3.333333333,8.99,15.37,0,3.06,5.37
9-Mar,68,2.036666667,9.276666667,15.92666667,-0.74,1.873333333,4.63
10-Mar,69,1.853333333,10.66,18.89,-0.186666667,2.28,4.813333333
11-Mar,70,4.63,12.22333333,20.55666667,0.74,4.223333333,7.593333333
12-Mar,71,4.443333333,12.63666667,21.29666667,0.926666667,4.316666667,8.15
13-Mar,72,4.813333333,11.66,18.70333333,-0.926666667,2.216666667,5.37
14-Mar,73,2.593333333,11.31,18.89,-0.37,2.09,4.26
15-Mar,74,3.146666667,12.46,21.66666667,0,1.846666667,4.26
16-Mar,75,4.073333333,12.9,21.29666667,-0.556666667,1.946666667,4.813333333
17-Mar,76,4.63,10.8,17.40666667,-2.963333333,1.66,5.186666667
18-Mar,77,3.52,9.56,15.18333333,-2.776666667,0.183333333,3.333333333
19-Mar,78,5.37,10.04,14.81333333,0.183333333,1.883333333,4.26
20-Mar,79,3.703333333,9.383333333,15.18333333,-3.333333333,-0.72,1.666666667
21-Mar,80,1.853333333,9.066666667,15,-2.963333333,-0.613333333,1.666666667
22-Mar,81,2.223333333,9.14,15.37,-0.926666667,0.6,2.963333333
23-Mar,82,2.963333333,10.45333333,17.03666667,0.37,1.953333333,3.89
24-Mar,83,4.26,11.89,19.81333333,-0.556666667,2.116666667,4.26
25-Mar,84,5.37,10.87333333,19.81333333,-2.036666667,1.36,4.073333333
26-Mar,85,5.74,12.47666667,19.44333333,-3.703333333,0.886666667,4.443333333
27-Mar,86,3.703333333,10.61666667,17.96333333,-6.296666667,-1.74,2.406666667
28-Mar,87,2.776666667,10.10333333,18.14666667,-3.15,-0.986666667,2.036666667
29-Mar,88,2.036666667,10.83,19.26,-3.333333333,-0.386666667,2.593333333
30-Mar,89,3.516666667,12.06666667,19.63,-0.926666667,0.69,2.593333333
31-Mar,90,4.813333333,10.26,16.29666667,-1.48,2.063333333,5.186666667
1-Apr,91,6.296666667,10.89666667,17.03666667,2.036666667,4.416666667,7.223333333
2-Apr,92,8.516666667,11.99333333,16.85333333,3.89,7.72,9.63
3-Apr,93,3.703333333,10.74333333,17.40666667,-0.74,4.06,8.333333333
4-Apr,94,2.036666667,10.37333333,17.40666667,-4.63,-0.533333333,3.703333333
5-Apr,95,3.333333333,10.57,17.59333333,-2.036666667,3.086666667,7.036666667
6-Apr,96,5.186666667,11.97666667,18.70333333,1.296666667,3.6,5.926666667
7-Apr,97,7.406666667,12.01,17.59333333,0.556666667,3.996666667,8.703333333
8-Apr,98,9.073333333,12.58666667,17.59333333,5.37,8.33,10.55666667
9-Apr,99,7.963333333,11.93,17.03666667,3.89,7.146666667,8.89
10-Apr,100,8.703333333,11.99666667,16.29666667,4.443333333,6.72,8.89
11-Apr,101,7.593333333,11.58666667,16.11,4.26,7.003333333,9.26
12-Apr,102,5.74,11.82333333,18.70333333,0.37,3.466666667,5.74
13-Apr,103,6.48,12.76,18.70333333,-2.036666667,2.683333333,6.296666667
14-Apr,104,7.963333333,14.34333333,20.92666667,3.52,6.96,10.74
15-Apr,105,10,14.47666667,20,5.37,8.383333333,11.29666667
16-Apr,106,7.593333333,13.20333333,18.88666667,0,5.213333333,8.146666667
17-Apr,107,7.036666667,13.34666667,20.37,2.036666667,5.016666667,8.89
18-Apr,108,7.776666667,12.29,17.59333333,4.26,6.303333333,9.073333333
19-Apr,109,7.593333333,12.46666667,18.14666667,5.183333333,7.196666667,10
20-Apr,110,10,13.97,19.26,5.37,8.003333333,10
21-Apr,111,7.406666667,12.33,16.85333333,5,6.626666667,8.333333333
22-Apr,112,8.703333333,12.60666667,17.59333333,5.37,7.526666667,9.26
23-Apr,113,8.89,13.16666667,17.22333333,4.443333333,7.003333333,10
24-Apr,114,8.333333333,12.35666667,16.85,5,8.233333333,11.48
25-Apr,115,9.26,12.88,16.85333333,0.37,8.23,11.11
26-Apr,116,8.703333333,14.04333333,20.18666667,5.556666667,7.49,9.443333333
27-Apr,117,7.963333333,14.04333333,21.11,5.74,7.913333333,10.92666667
28-Apr,118,9.26,14.78666667,20.55666667,4.63,7.91,10.18666667
29-Apr,119,9.813333333,14.99666667,20.18666667,3.89,6.643333333,9.26
30-Apr,120,7.406666667,14.82666667,21.11,2.963333333,5.983333333,8.89
1-May,121,8.703333333,15.02666667,20.74,3.516666667,6.153333333,9.443333333
2-May,122,9.63,15.80666667,21.48333333,6.296666667,8.2,10
3-May,123,9.26,15.87,21.66666667,4.63,8.186666667,11.29666667
4-May,124,6.666666667,16.07333333,24.81666667,4.63,6.536666667,8.52
5-May,125,9.073333333,17.82666667,27.03666667,2.593333333,6.373333333,9.073333333
6-May,126,8.52,18.19,26.11,-2.963333333,3.753333333,7.963333333
7-May,127,8.703333333,18.22666667,26.66666667,1.483333333,5.793333333,9.073333333
8-May,128,11.66666667,19.08,25.74,5.37,8.816666667,11.85
9-May,129,12.40666667,18.35333333,24.63,4.816666667,8.54,12.77666667
10-May,130,12.03666667,17.44666667,22.59333333,5.37,8.986666667,11.85333333
11-May,131,9.63,16.08333333,22.03666667,-0.37,4.87,9.073333333
12-May,132,10.37,16.76333333,22.96333333,-1.296666667,3.956666667,7.78
13-May,133,9.26,16.65666667,23.14666667,1.296666667,4.553333333,7.776666667
14-May,134,10,17.55333333,24.63,1.48,4.603333333,7.963333333
15-May,135,10.37,18.21666667,25.92666667,2.406666667,6.423333333,9.443333333
16-May,136,11.66666667,18.66333333,25.74,4.073333333,8.696666667,11.48
17-May,137,11.48,16.45,22.40666667,1.48,5.88,9.813333333
18-May,138,8.89,16.64666667,23.52,2.036666667,4.376666667,7.963333333
19-May,139,10.37,17.82,25,0.556666667,4.246666667,6.483333333
20-May,140,9.443333333,18.78333333,26.85333333,0,4.703333333,7.963333333
21-May,141,12.40666667,20.96666667,29.07333333,0,5.693333333,8.703333333
22-May,142,12.77666667,20.79666667,27.96333333,0.37,4.346666667,8.89
23-May,143,12.22333333,20.11333333,27.22333333,3.703333333,6.913333333,9.813333333
24-May,144,12.77666667,20.10333333,26.85333333,5.186666667,8.623333333,11.66666667
25-May,145,12.03666667,20.22666667,27.77666667,5.926666667,7.863333333,10
26-May,146,12.77666667,20.45666667,28.70333333,6.296666667,9.596666667,12.40666667
27-May,147,12.96333333,20.92666667,27.59333333,8.703333333,10.22,11.66666667
28-May,148,14.26,21.18,29.07333333,4.073333333,8.743333333,12.22333333
29-May,149,12.22333333,21.29,29.07333333,5,7.563333333,10.37
30-May,150,14.07333333,23.36333333,32.03666667,3.52,7.633333333,10.37
31-May,151,15,24.05333333,32.59333333,3.703333333,7.69,11.85
1-Jun,152,15.37,22.38,30,4.813333333,9.27,13.33333333
2-Jun,153,13.70333333,22.58333333,30.55666667,5.37,9.02,11.48
3-Jun,154,16.85,24.52,31.66666667,2.963333333,8.276666667,11.29666667
4-Jun,155,15.92666667,23.12,28.89,2.963333333,9.106666667,14.63
5-Jun,156,15,18.85666667,23.52,3.89,8.786666667,13.70333333
6-Jun,157,10.92666667,19.97333333,28.33333333,2.406666667,5.886666667,8.52
7-Jun,158,12.96333333,21.4,27.59333333,2.223333333,6.616666667,11.48
8-Jun,159,12.96333333,22.08333333,29.63,0.74,6.813333333,12.03666667
9-Jun,160,12.77666667,21.59666667,28.33333333,-0.926666667,4.653333333,10.74
