number,lowPre,avPre,highPre
1,-1.2297619,3.10261905,11.67865079
2,-3.43015151,1.95161616,10.21464647
3,-2.80262626,2.51661616,8.89560606
4,-2.62808081,3.19772727,10.43671717
5,-4.93853535,1.51934343,10.50060606
6,-5.68191919,1.27742424,11.91303031
7,-4.1510101,1.84156566,10.71454545
8,-3.34131313,2.84287879,10.34222222
9,-1.0549495,5.42656566,9.27146465
10,-2.07181818,3.76030303,8.87469697
11,-5.74166667,0.62287879,7.33222222
12,-7.52924242,-1.58787879,6.67762626
13,-8.33939394,-1.63777778,7.45737374
14,-6.43131313,-0.15823232,9.20343434
15,-3.05282828,2.42525253,10.13449495
16,-1.14323232,3.52611111,10.04530303
17,-2.08459596,2.89808081,8.84570707
18,-3.67020202,1.99131313,8.50277778
19,-3.08106061,2.10580808,7.42045455
20,0.75863636,3.75843434,7.16580808
21,2.2280303,5.64691919,9.5849495
22,3.02449495,6.21090909,10.40378788
23,4.36838384,8.23328283,11.6329798
24,7.71575758,10.06828283,12.39671717
25,6.11979798,9.49353535,12.89888889
26,2.38262626,7.40070707,13.95646464
27,2.64828283,8.04464646,13.85060606
28,5.48585859,9.44363636,12.49459596
29,6.05691919,9.30212121,12.3310101
30,6.78030303,10.12414141,13.2750505
31,8.53247475,11.74484848,14.65232323
32,8.70893939,11.32585858,14.7639899
33,6.74257576,9.17353535,11.23959596
34,5.48232323,8.46510101,12.83323232
35,2.37459596,8.19429293,15.23590909
36,1.56262626,8.28055555,15.76782828
37,1.6470202,7.16116162,12.79378788
38,1.7710101,7.12409091,13.41696969
39,2.47550505,6.97277778,13.01474748
40,3.10015152,7.1499495,12.17166667
41,4.04737373,8.82823232,13.87878788
42,4.05459596,8.95409091,12.39429293
43,5.70858586,9.38383838,13.47060606
44,3.08515152,8.68227273,15.93025253
45,0.93207071,7.35272727,15.9080303
46,0.58707071,7.67156566,16.38292929
47,1.30429293,8.54378788,16.61459596
48,1.48040404,7.9990404,15.57717172
49,1.4529798,7.80358586,15.77656566
50,0.83535353,7.9989899,16.95545455
51,1.00287878,8.21636364,16.59101011
52,2.02570707,9.02479798,16.96510101
