number,Date,LowTemp,AverageTemp,HighTemp,LowDew,AverageDew,HighDew
1,1/1/2020,-2.22,3.33,12.22,-2.78,0.67,5
2,2/1/2020,-2.78,3.11,12.78,-2.78,0.28,3.89
3,3/1/2020,-2.22,1.72,3.89,-2.22,1.06,2.78
4,4/1/2020,-2.22,3.94,12.22,-2.22,0.78,3.89
5,5/1/2020,-2.78,3.39,12.22,-3.89,-0.28,2.78
6,6/1/2020,-2.78,3.5,12.78,-3.89,-0.33,2.78
7,7/1/2020,-2.78,3.67,13.89,-3.89,-1.11,2.78
8,8/1/2020,-2.22,4.72,16.11,-3.89,-1.61,1.11
9,9/1/2020,-1.11,5.5,12.78,-2.22,1.11,5
10,10/1/2020,0,5.94,12.22,-1.11,0.72,3.89
11,11/1/2020,-2.78,3.61,11.11,-3.89,-1.78,0
12,12/1/2020,-5,1.22,10,-7.22,-3.67,-1.11
13,13/1/2020,-5,0.67,7.78,-6.11,-2.67,1.11
14,14/1/2020,-5,1,8.89,-6.11,-1.83,2.22
15,15/1/2020,0,4.72,8.89,0,2.33,5
16,16/1/2020,6.11,8.33,13.89,3.89,5.61,7.22
17,17/1/2020,3.89,8.39,12.78,2.22,4.5,6.11
18,18/1/2020,2.78,6.11,8.89,1.11,4.72,7.78
19,19/1/2020,2.78,6.72,11.11,-12.78,-2.33,7.22
20,20/1/2020,2.22,4.28,6.11,-11.11,-7.94,-2.78
21,21/1/2020,3.89,5.61,7.78,-2.78,0.06,2.78
22,22/1/2020,5,7.11,11.11,1.11,2.39,5
23,23/1/2020,0,5.44,11.11,-1.11,2.33,5
24,24/1/2020,6.11,7.39,8.89,5,5.44,7.22
25,25/1/2020,5,7.39,10,5,6.5,7.78
26,26/1/2020,3.89,6.44,11.11,3.89,4.67,7.22
27,27/1/2020,0,5.22,10,0,4.06,6.11
28,28/1/2020,8.89,11.06,12.78,7.22,8.83,11.11
29,29/1/2020,11.11,12,13.89,8.89,9.17,10
30,30/1/2020,7.78,10.67,12.78,7.22,7.83,8.89
31,31/1/2020,10,12.28,15,7.78,9.33,11.11
32,1/2/2020,11.11,13.94,18.89,10,11.11,12.22
33,2/2/2020,10,11.78,12.78,8.89,10,11.11
34,3/2/2020,7.78,11.28,17.78,7.78,8.67,10
35,4/2/2020,2.78,10,18.89,2.78,6.17,10
36,5/2/2020,1.11,8,15,-2.78,0.61,5
37,6/2/2020,0,5.06,10,-1.11,2.39,6.11
38,7/2/2020,2.22,6.89,12.78,1.11,4.33,7.22
39,8/2/2020,2.78,6.72,12.22,2.78,5.44,7.78
40,9/2/2020,3.89,8.06,12.22,3.89,6.44,7.78
41,10/2/2020,5,8.94,15,3.89,7.44,10
42,11/2/2020,3.89,7.89,11.11,3.89,7.17,8.89
