lowT,avT,highT,lowD,avD,highD
14.63,21.42666667,28.70333333,7.963333333,10.44666667,12.59333333
15.18666667,21.29666667,29.07333333,7.963333333,9.85,12.03666667
16.11,23.46333333,30.92666667,5.37,9.423333333,12.96333333
15.74,24.22,32.40666667,2.593333333,7.5,14.07333333
16.85,23.75666667,31.11333333,3.516666667,8.296666667,12.77666667
15.74,23.39,31.66666667,3.89,7.943333333,10.74
16.66666667,24.46333333,32.22333333,4.26,8.056666667,12.22333333
16.29666667,22.83666667,28.52,2.963333333,8.203333333,12.59333333
15.18666667,22.05666667,28.70333333,2.406666667,7.053333333,10.74
15,21.17,26.85333333,4.26,6.853333333,9.073333333
15,21.96333333,28.33333333,5.926666667,8.166666667,10
15,23.29333333,31.29666667,6.48,8.183333333,10.37
16.66666667,21.96333333,27.78,6.296666667,9.756666667,13.70333333
16.29666667,20.52,25.55666667,10.18333333,12.76,14.81333333
16.11,20.87,25.74,11.29666667,13.72333333,15.37
16.66666667,21.37,27.03666667,11.29666667,14.64666667,16.66666667
16.85333333,22.07333333,29.26,10.37,13.07333333,16.11
16.29666667,21.52,27.03666667,9.63,13.03666667,15.18666667
13.70333333,19.38666667,25.37,8.52,11.18333333,13.89
14.44333333,18.72333333,23.33333333,10.37,12.07,14.07333333
14.07333333,18.09333333,22.59333333,9.26,11.39,13.51666667
13.52,18.05666667,24.26,7.036666667,11.20666667,15
12.40666667,18.39,25,9.26,11.07333333,13.14666667
14.44333333,19.74,25.92666667,11.29666667,13.44666667,15.92666667
15.74,19.59333333,23.33333333,7.776666667,12.05666667,15.37
12.40666667,18.22333333,23.89,6.666666667,8.313333333,10.74
10.55666667,18.15,26.11,5.186666667,8,10.92666667
12.40666667,18.75666667,25.74,2.406666667,7.333333333,10.74
9.073333333,17.59,26.29666667,2.593333333,5.946666667,9.443333333
10.55666667,18.70333333,27.03666667,3.703333333,6.593333333,9.26
10.74,18.26,26.66666667,5,7.24,10
10.74,18.33,24.26,4.26,7.766666667,10
11.11,16.15666667,20.92666667,2.223333333,7.843333333,12.22333333
8.333333333,14.99666667,22.22333333,2.036666667,4.156666667,5.74
