number,av2019,av2020,av2021,mean
1,3.04452381,3.3847619,2.87857143,3.102619047
2,2.67151515,2.70651515,0.47681818,1.95161616
3,3.50212121,2.12227273,1.92545455,2.516616163
4,2.64651515,4.1269697,2.81969697,3.197727273
5,1.72545455,3.44863636,-0.61606061,1.519343433
6,2.73545455,3.08484848,-1.9880303,1.277424243
7,3.64045455,3.28181818,-1.39757576,1.841565657
8,4.10878788,4.54515152,-0.12530303,2.84287879
9,5.27621212,5.94439394,5.05909091,5.426565657
10,3.46636364,6.51939394,1.29515152,3.760303033
11,1.61333333,4.04378788,-3.78848485,0.622878787
12,1.84924242,0.89833333,-7.51121212,-1.58787879
13,1.54757576,-0.11393939,-6.3469697,-1.637777777
14,3.80469697,0.695,-4.97439394,-0.158232323
15,4.93166667,5.02272727,-2.67863636,2.425252527
16,3.44439394,8.75772727,-1.62378788,3.52611111
17,3.32878788,8.27787879,-2.91242424,2.89808081
18,1.45272727,6.38212121,-1.86090909,1.99131313
19,1.82227273,6.32515152,-1.83,2.105808083
20,5.07893939,4.47681818,1.71954545,3.75843434
21,3.64954545,5.37181818,7.91939394,5.64691919
22,3.76621212,6.63287879,8.23363636,6.21090909
23,11.24848485,6.30333333,7.1480303,8.233282827
24,11.87878788,7.825,10.50106061,10.06828283
25,10.72060606,6.88318182,10.87681818,9.493535353
26,5.25787879,5.71015152,11.23409091,7.400707073
27,5.13560606,6.00090909,12.99742424,8.044646463
28,6.85181818,11.16060606,10.31848485,9.443636363
29,6.78030303,11.45242424,9.67363636,9.30212121
30,8.51090909,10.75651515,11.105,10.12414141
31,11.27469697,12.34848485,11.61136364,11.74484849
32,8.12545454,13.58363636,12.26848485,11.32585858
33,5.27636364,11.99939394,10.24484848,9.173535353
34,3.64106061,11.69469697,10.05954545,8.46510101
35,2.93075758,10.25454546,11.39757576,8.194292933
36,6.51530303,7.45272727,10.87363636,8.280555553
37,7.18106061,5.08030303,9.22212121,7.161161617
38,6.50863636,6.93818182,7.92545455,7.12409091
39,5.89893939,7.03045455,7.98893939,6.972777777
40,5.63666667,7.88030303,7.93287879,7.149949497
41,8.42787879,8.32378788,9.7330303,8.828232323
42,8.95681818,8.1730303,9.73242424,8.954090907
43,6.26651515,10.29257576,11.59242424,9.383838383
44,6.20984849,10.94954545,8.88742424,8.682272727
45,5.85181818,8.17772728,8.02863636,7.352727273
46,6.8819697,7.81333333,8.31939394,7.671565657
47,8.13833333,9.22393939,8.26909091,8.543787877
48,6.295,8.86909091,8.8330303,7.999040403
49,6.62863636,8.11166666,8.67045455,7.803585857
50,7.5569697,7.15409091,9.28590909,7.9989899
51,7.52863636,6.83060606,10.28984848,8.216363633
52,8.0930303,8.92287879,10.05848484,9.024797977
53,7.91333333,9.47136364,7.54151516,8.308737377
54,8.02060606,10.11636364,6.38030303,8.172424243
55,10.02712121,9.83878788,7.58378788,9.14989899
56,10.19333333,9.61333333,9.07439394,9.6270202
57,10.69681819,11.34,9.89787879,10.64489899
58,10.29151515,11.5889394,9.58015151,10.48686869
59,10.17742424,11.06060606,8.29727273,9.84510101
60,10.84666666,10.65075758,8.60545455,10.03429293
61,11.68530302,10.77166666,10.17924243,10.87873737
62,11.64515152,10.1739394,9.51590909,10.445
63,13.07121212,11.4539394,7.59939394,10.70818182
64,12.76363635,15.18333333,9.62151515,12.52282828
65,10.98060607,12.94272727,11.31833332,11.74722222
66,8.25075758,9.47833334,9.62848485,9.119191923
67,9.59045456,7.99,8.10863637,8.56303031
68,10.44484845,8.74045455,8.14727271,9.11085857
69,13.1389394,11.95742424,8.12166666,11.07267677
