number,high2019,high2020,high2021,mean
1,14.88095238,13.09380952,7.06119048,11.67865079
2,13.20106061,11.09666667,6.34621212,10.21464647
3,13.58787879,4.91636364,8.18257576,8.895606063
4,12.10590909,11.9080303,7.29621212,10.43671717
5,12.1780303,11.79121212,7.53257576,10.50060606
6,16.06772727,12.82181818,6.84954545,11.9130303
7,16.23621212,14.33606061,1.57136364,10.71454546
8,14.92515152,15.69863636,0.40287879,10.34222222
9,14.06681818,12.6530303,1.09454545,9.271464643
10,9.43666667,12.69106061,4.49636364,8.874696973
11,7.31666667,11.86757576,2.81242424,7.332222223
12,10.53757576,9.48712121,0.00818182,6.677626263
13,12.27090909,7.48515152,2.61606061,7.45737374
14,15.68151515,8.06454545,3.86424242,9.20343434
15,15.4369697,9.36151515,5.605,10.13449495
16,10.8580303,14.16,5.11787879,10.04530303
17,7.69636364,12.95666667,5.88409091,8.845707073
18,7.3419697,9.69757576,8.46878788,8.50277778
19,6.07712121,9.86424242,6.32,7.420454543
20,9.80621212,5.93393939,5.75727273,7.16580808
21,8.78,8.25060606,11.72424242,9.584949493
22,9.18515152,11.29515152,10.73106061,10.40378788
23,14.4280303,10.94227273,9.52863636,11.6329798
24,15.99151515,8.99954545,12.19909091,12.39671717
25,14.92454545,9.83954545,13.93257576,12.89888889
26,13.93272727,11.16863636,16.7680303,13.95646464
27,13.13363636,10.19393939,18.22424242,13.85060606
28,13.22454545,12.58651515,11.67272727,12.49459596
29,11.59712121,13.62106061,11.77484848,12.3310101
30,12.08681818,13.46121212,14.27712121,13.2750505
31,13.66287879,15.24378788,15.05030303,14.65232323
32,10.96727272,16.96287879,16.36181818,14.7639899
33,7.9730303,13.46212121,12.28363636,11.23959596
34,7.33363636,18.71393939,12.45212121,12.83323232
35,11.45530303,19.24318182,15.00924242,15.23590909
36,16.19409091,14.26787879,16.84151515,15.76782828
37,16.05954545,9.90818182,12.41363636,12.79378788
38,15.58863636,12.45106061,12.21121212,13.4169697
39,14.78136364,12.4219697,11.84090909,13.01474748
40,12.61151515,13.15454545,10.74893939,12.17166666
41,12.79727273,14.68000001,14.15909091,13.87878788
42,13.87348485,10.66393939,12.64545454,12.39429293
43,14.21772727,11.02621212,15.16787879,13.47060606
44,16.44575758,14.54530303,16.79969697,15.93025253
45,15.10030303,15.25166667,17.37212121,15.9080303
46,17.55772727,16.96909091,14.6219697,16.38292929
47,18.05742424,17.56969697,14.21666667,16.61459596
48,17.04363637,13.89863637,15.78924242,15.57717172
49,15.14257576,13.96530303,18.22181818,15.77656566
50,15.78136364,15.68075758,19.40424243,16.95545455
51,16.08530303,16.70712123,16.98060606,16.59101011
52,17.91454545,20.05015151,12.93060606,16.96510101
53,19.02454546,22.9689394,13.00318184,18.33222223
54,19.74772727,22.52318182,13.44363636,18.57151515
55,19.83181818,20.75666667,13.5190909,18.03585858
56,20.53848486,17.82060605,13.34333332,17.23414141
57,21.26121213,16.56469696,17.39,18.40530303
58,20.65545455,19.94227274,18.78045456,19.79272728
59,19.60484848,18.89818182,13.9560606,17.48636363
60,19.87378785,13.62909091,10.59757575,14.7001515
61,21.42121212,13.77166666,14.1759091,16.45626263
62,21.14318182,13.01484847,14.12545455,16.09449495
63,18.24742423,16.93515152,12.79651516,15.9930303
64,16.03484847,18.96575757,15.58909091,16.86323232
65,13.45166666,15.90045455,15.55530303,14.96914141
66,11.68090909,13.57030304,14.65500001,13.30207071
67,15.2180303,15.5710606,12.81272727,14.53393939
68,19.48803025,15.35287878,13.04893937,15.9632828
69,23.71393939,18.26,16.96939394,19.64777778
70,21.60803033,22.41757574,19.22666668,21.08409092
71,20.59090911,24.68848482,15.83181819,20.37040404
72,13.79666665,25.11,14.97318181,17.95994949
73,18.47863629,24.10909096,15.66409084,19.4172727
74,24.81575758,22.7006061,19.42909091,22.31515153
75,25.01712125,17.87060605,20.48924246,21.12565659
76,19.73924243,12.12727267,19.43590915,17.10080808
77,16.40454548,17.74969694,11.92575762,15.36000001
78,16.15166668,18.42333335,11.02545456,15.20015153
79,15.88227272,17.23772726,12.45560605,15.19186868
80,16.0180303,12.19075758,15.32727271,14.5120202
81,18.63772725,9.30090901,16.92590895,14.9548484
82,20.00000001,12.09378788,19.86590909,17.31989899
83,22.62424242,16.67409093,21.59772729,20.29868688
84,22.01757574,17.01939397,20.66424246,19.90040406
85,21.64712119,16.68984848,18.43606058,18.92434342
86,20.58909091,14.54378787,17.90590907,17.67959595
87,20.54787877,12.79227276,22.16151516,18.50055556
88,18.25166663,17.62515148,23.30833336,19.72838382
89,17.04636364,18.39378785,22.01878789,19.15297979
90,12.4131818,12.42606065,24.58909089,16.47611111
91,17.69181805,11.34621216,22.01454563,17.01752528
92,19.34378793,13.35984846,17.93984849,16.88116163
93,16.37969698,15.34439395,20.09984849,17.27464647
94,13.604394,17.29606065,20.9919695,17.29747472
95,11.93757567,17.62787872,23.25560606,17.60702015
96,12.19545443,19.36924234,24.40257596,18.65575758
97,14.91606061,19.03378789,19.50363636,17.81782829
98,17.19515173,19.47954563,16.99757581,17.89075772
99,15.1096969,21.37848486,14.59787881,17.02868686
