number,low2019,low2020,low2021,mean
1,-3.36142857,-2.36666667,2.03880952,-1.229761907
2,-4.51227273,-2.72848485,-3.04969697,-3.430151517
3,-2.47727273,-2.12636364,-3.80424242,-2.802626263
4,-3.72181818,-1.95090909,-2.21151515,-2.628080807
5,-5.33636364,-2.62075758,-6.85848485,-4.938535357
6,-6.26136364,-3.21,-7.57439394,-5.681919193
7,-5.25227273,-3.28424242,-3.91651515,-4.1510101
8,-3.75575758,-2.4469697,-3.82121212,-3.341313133
9,-2.42636364,-0.66378788,-0.07469697,-1.054949497
10,-2.91454545,0.78212121,-4.0830303,-2.07181818
11,-3.51136364,-2.23272727,-11.48090909,-5.741666667
12,-4.10893939,-5.33651515,-13.14227273,-7.529242423
13,-5.54742424,-6.31257576,-13.15818182,-8.33939394
14,-3.04833333,-5.30333333,-10.94227273,-6.43131313
15,-1.62333333,0.96727273,-8.50242424,-3.05282828
16,-1.81181818,6.48893939,-8.10681818,-1.143232323
17,0.10015152,3.46969697,-9.82363636,-2.084595957
18,-4.55454545,2.57818182,-9.03424242,-3.670202017
19,-3.0480303,2.77060606,-8.96575758,-3.081060607
20,1.97590909,3.00348485,-2.70348485,0.758636363
21,-0.04363636,3.41863636,3.30909091,2.228030303
22,-0.99227273,3.45136364,6.61439394,3.02449495
23,6.63166667,1.78393939,4.68954545,4.368383837
24,7.81848485,6.80878788,8.52,7.715757577
25,6.75772727,4.53742424,7.06424242,6.119797977
26,-2.02727273,2.24833333,6.92681818,2.38262626
27,-3.41909091,1.19515152,10.16878788,2.64828283
28,-1.6069697,9.59666667,8.46787879,5.485858587
29,0.79030303,10.06742424,7.3130303,6.05691919
30,5.17666667,7.40939394,7.75484848,6.78030303
31,7.65818182,9.89,8.04924242,8.532474747
32,6.20257576,11.53030303,8.39393939,8.708939393
33,1.98484849,10.67393939,7.56893939,6.742575757
34,0.95742424,7.67969697,7.80984849,5.482323233
35,-4.78924242,2.81333333,9.09969697,2.37459596
36,-1.71545455,0.46181818,5.94151515,1.56262626
37,-1.07636364,0.17606061,5.84136364,1.647020203
38,-1.63136364,2.68378788,4.26060606,1.7710101
39,-1.48,3.17560606,5.73090909,2.47550505
40,0.03363637,3.30878788,5.9580303,3.100151517
