lowT,avT,highT,lowD,avD,highD
4.073333333,9.813333333,14.63,0.37,3.333333333,6.11
6.666666667,11.22666667,16.66666667,2.963333333,4.993333333,7.036666667
5,10.92666667,16.29666667,-0.37,4.02,7.963333333
5.926666667,10.33,15.37,1.853333333,5.67,8.89
7.593333333,12.03,16.66666667,3.52,6.043333333,7.963333333
8.89,11.73666667,15,2.223333333,6.086666667,9.073333333
4.813333333,9.183333333,13.33333333,-1.11,2.036666667,4.813333333
3.333333333,8.99,15.37,0,3.06,5.37
2.036666667,9.276666667,15.92666667,-0.74,1.873333333,4.63
1.853333333,10.66,18.89,-0.186666667,2.28,4.813333333
4.63,12.22333333,20.55666667,0.74,4.223333333,7.593333333
4.443333333,12.63666667,21.29666667,0.926666667,4.316666667,8.15
4.813333333,11.66,18.70333333,-0.926666667,2.216666667,5.37
2.593333333,11.31,18.89,-0.37,2.09,4.26
3.146666667,12.46,21.66666667,0,1.846666667,4.26
4.073333333,12.9,21.29666667,-0.556666667,1.946666667,4.813333333
4.63,10.8,17.40666667,-2.963333333,1.66,5.186666667
3.52,9.56,15.18333333,-2.776666667,0.183333333,3.333333333
5.37,10.04,14.81333333,0.183333333,1.883333333,4.26
3.703333333,9.383333333,15.18333333,-3.333333333,-0.72,1.666666667
1.853333333,9.066666667,15,-2.963333333,-0.613333333,1.666666667
2.223333333,9.14,15.37,-0.926666667,0.6,2.963333333
2.963333333,10.45333333,17.03666667,0.37,1.953333333,3.89
4.26,11.89,19.81333333,-0.556666667,2.116666667,4.26
5.37,10.87333333,19.81333333,-2.036666667,1.36,4.073333333
5.74,12.47666667,19.44333333,-3.703333333,0.886666667,4.443333333
3.703333333,10.61666667,17.96333333,-6.296666667,-1.74,2.406666667
2.776666667,10.10333333,18.14666667,-3.15,-0.986666667,2.036666667
2.036666667,10.83,19.26,-3.333333333,-0.386666667,2.593333333
3.516666667,12.06666667,19.63,-0.926666667,0.69,2.593333333
4.813333333,10.26,16.29666667,-1.48,2.063333333,5.186666667
6.296666667,10.89666667,17.03666667,2.036666667,4.416666667,7.223333333
8.516666667,11.99333333,16.85333333,3.89,7.72,9.63
3.703333333,10.74333333,17.40666667,-0.74,4.06,8.333333333
2.036666667,10.37333333,17.40666667,-4.63,-0.533333333,3.703333333
3.333333333,10.57,17.59333333,-2.036666667,3.086666667,7.036666667
5.186666667,11.97666667,18.70333333,1.296666667,3.6,5.926666667
7.406666667,12.01,17.59333333,0.556666667,3.996666667,8.703333333
9.073333333,12.58666667,17.59333333,5.37,8.33,10.55666667
7.963333333,11.93,17.03666667,3.89,7.146666667,8.89
8.703333333,11.99666667,16.29666667,4.443333333,6.72,8.89
7.593333333,11.58666667,16.11,4.26,7.003333333,9.26
5.74,11.82333333,18.70333333,0.37,3.466666667,5.74
