lowT,avT,highT,lowD,avD,highD
15.37,22.38,30,4.813333333,9.27,13.33333333
13.70333333,22.58333333,30.55666667,5.37,9.02,11.48
16.85,24.52,31.66666667,2.963333333,8.276666667,11.29666667
15.92666667,23.12,28.89,2.963333333,9.106666667,14.63
15,18.85666667,23.52,3.89,8.786666667,13.70333333
10.92666667,19.97333333,28.33333333,2.406666667,5.886666667,8.52
12.96333333,21.4,27.59333333,2.223333333,6.616666667,11.48
12.96333333,22.08333333,29.63,0.74,6.813333333,12.03666667
12.77666667,21.59666667,28.33333333,-0.926666667,4.653333333,10.74
13.52,21.58666667,28.70333333,-0.186666667,4.896666667,9.26
14.63,20.67666667,27.40666667,0.926666667,5.536666667,8.333333333
12.40666667,20.62,27.03666667,1.296666667,5.726666667,9.26
14.07333333,21.16,28.33333333,2.036666667,6.07,10.74
14.26,21.74666667,27.96333333,3.52,6.36,10.55666667
13.33333333,22.20666667,29.07333333,2.963333333,6.19,8.15
14.26,23.04333333,30,4.63,7.1,10.55666667
15,21.25666667,26.85,4.443333333,8.233333333,11.29666667
15.92666667,22.44333333,28.70333333,1.853333333,6.486666667,10.92666667
15.18666667,21.93,27.59333333,6.296666667,8.706666667,11.48
14.63,21.78666667,27.03666667,5,9.363333333,12.22333333
15,22.59666667,28.89,4.073333333,7.45,11.11
15,23.22333333,30,5,7.936666667,10.37
16.66666667,24.37666667,31.29666667,4.26,7.766666667,11.11
17.96333333,25.65666667,32.96333333,4.813333333,7.893333333,11.48
18.33333333,26.60333333,34.07333333,7.406666667,10.38,13.33333333
19.44333333,27.95,35.74,7.963333333,11.5,13.89
20.37,27.94,34.44333333,1.666666667,7.94,12.22333333
17.40666667,26.82666667,34.26,0.186666667,6.05,9.443333333
17.22333333,27.58,35.37,1.48,6.373333333,9.63
19.07333333,29.08,36.85333333,-1.11,6.533333333,11.85333333
20,29.00333333,36.29666667,1.853333333,7.593333333,13.52
18.33333333,28.11666667,35.37,2.593333333,7.673333333,11.66666667
18.15,27.11666667,34.63,3.15,9.013333333,13.70333333
20.18333333,26.99333333,32.96333333,4.26,8.803333333,12.40666667
18.70333333,27.50333333,34.63,3.15,7.933333333,11.29666667
18.33333333,26.03666667,33.33333333,0.926666667,7.17,11.66666667
16.48,25.84666667,33.52,3.52,7.906666667,10.55666667
18.70333333,26.23,32.96333333,2.963333333,6.89,10.74
18.33333333,26.19666667,33.33333333,5.37,9.156666667,12.77666667
18.33333333,26.83333333,34.81666667,6.11,9.59,12.59333333
18.15,28.44333333,37.96333333,5.556666667,8.6,11.29666667
20.74,28.54333333,36.66666667,4.26,8.043333333,12.03666667
20,26.17666667,32.59333333,6.48,9.336666667,12.40666667
17.40666667,25.55666667,32.59333333,5.74,9.53,11.66666667
