lowT,avT,highT,lowD,avD,highD
2.036666667,5.963333333,11.29666667,1.666666667,4.596666667,7.593333333
2.776666667,7.06,12.40666667,-0.556666667,2.113333333,6.11
1.666666667,6.566666667,11.29666667,-2.593333333,0.17,2.78
0,5.473333333,11.66666667,-1.483333333,1.63,4.813333333
5.556666667,8.45,10.92666667,-0.37,1.813333333,5.74
2.036666667,7.326666667,12.22333333,0.37,1.783333333,4.443333333
1.666666667,6.103333333,10.92666667,-0.37,2.706666667,5.74
4.443333333,7.276666667,10,0.37,3.863333333,7.776666667
4.63,7.89,11.29666667,0.186666667,3.053333333,6.296666667
2.593333333,7.116666667,11.11,0.37,2.61,4.443333333
3.703333333,8.56,13.89,0.74,4.636666667,7.776666667
6.666666667,9.683333333,14.07333333,2.036666667,6.413333333,9.26
5,10.08333333,15,2.223333333,4.376666667,6.666666667
1.853333333,6.996666667,13.88666667,0.556666667,4.06,7.593333333
2.963333333,7.956666667,14.44333333,2.776666667,4.526666667,7.223333333
3.333333333,7.876666667,10.92666667,0,3.03,6.296666667
2.593333333,6.63,12.03666667,1.11,3.37,5.926666667
2.593333333,6.87,11.66666667,1.48,3.723333333,6.296666667
4.443333333,8.39,11.66666667,3.146666667,6.12,8.333333333
6.11,8.33,10.55666667,4.63,6.926666667,9.073333333
7.036666667,9.933333333,13.88666667,5,7.9,9.816666667
6.666666667,9.553333333,12.22333333,3.89,7.13,9.26
5,8.373333333,12.03666667,3.333333333,6.17,8.333333333
6.296666667,8.263333333,11.66666667,5.74,7.276666667,8.89
5.37,8.503333333,13.14666667,2.776666667,6.7,9.63
3.333333333,7.393333333,12.40666667,1.296666667,3.92,7.036666667
2.406666667,6.856666667,13.33333333,0,2.686666667,5.37
0.556666667,5.81,12.77666667,-0.926666667,1.506666667,4.073333333
2.406666667,6.67,12.59333333,-0.556666667,2.043333333,5.556666667
-0.37,5.076666667,12.59333333,-1.296666667,1.586666667,5.37
-0.74,5.026666667,12.96333333,-2.036666667,1.033333333,4.26
-0.74,3.346666667,11.48,-3.15,-0.666666667,2.406666667
-3.52,2.073333333,10.55666667,-5,-2.196666667,1.666666667
-3.333333333,2.026666667,8.89,-5,-2.133333333,0.186666667
-2.776666667,3.086666667,10.74,-4.443333333,-1.976666667,0.186666667
-4.63,1.556666667,10.18333333,-5.74,-3.073333333,0
-5.37,1.766666667,12.03666667,-6.296666667,-3.576666667,-0.553333333
-3.52,2.483333333,10.74,-6.296666667,-3.633333333,-0.37
-3.703333333,2.33,10.37,-6.11,-3.063333333,-0.37
-1.666666667,4.94,8.89,-2.776666667,-0.506666667,2.406666667
-2.223333333,3.503333333,8.703333333,-4.073333333,-1.456666667,0.556666667
-5.926666667,0.706666667,7.593333333,-7.963333333,-4.913333333,-2.036666667
